slab_thickness,vac_thickness,slab_index,surface_energy,slab_toten,slab_per_atom,time_taken
20,30,15,0.4119406752267468,-193.55099455,-8.797772479545456,168.599
20,20,15,0.4114404487177107,-193.55188216,-8.797812825454544,135.569
20,50,15,0.4116955974313344,-193.55142942,-8.797792246363636,199.200
30,20,15,0.40673696359371214,-387.84217684,-8.814594928181817,293.511
30,30,15,0.40686796442969597,-387.84194439,-8.814589645227272,354.419
30,50,15,0.40658688606036963,-387.84244314,-8.814600980454545,473.562
50,30,15,0.4020128012458808,-582.13250821,-8.820189518333333,807.566
50,20,15,0.4015889660610183,-582.13326027,-8.82020091318182,569.050
50,50,15,0.4011918777021106,-582.13396487,-8.820211588939394,995.417
20,20,1,1.6936131866195208,-2295.06382697,-8.693423587007574,9019.347
30,20,1,1.6915201564761833,-3072.23650699,-8.727944622130682,14915.971
40,20,1,1.6876692808677194,-4238.01078151,-8.756220622954546,18925.175
40,30,1,1.6882616139016655,-4237.99807892,-8.756194377933884,31345.615
20,30,1,1.6942482885700367,-2295.0502072,-8.693371996969697,10585.603
30,30,1,1.6920593242373865,-3072.22494453,-8.727911774232954,12076.440
20,40,1,1.6946735543286744,-2295.04108737,-8.69333745215909,12868.414
30,40,1,1.6925831700218532,-3072.21371065,-8.727879859801137,24627.921
40,40,1,1.6888339343579757,-4237.9858055,-8.7561690196281,30290.476